,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,47.93,77,1,9.13,clear sky
1,Barrow,US,71.2906,-156.7887,33.82,80,75,19.57,broken clouds
2,Jamestown,US,42.097,-79.2353,52.02,66,100,14.97,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,33.01,98,11,2.46,few clouds
4,Ostrovnoy,RU,68.0531,39.5131,41.22,87,22,11.95,few clouds
5,Yeppoon,AU,-23.1333,150.7333,64.18,80,9,8.84,clear sky
6,Albany,US,42.6001,-73.9662,71.17,68,26,12.24,scattered clouds
7,Rio Gallegos,AR,-51.6226,-69.2181,48.25,43,40,24.16,scattered clouds
8,Avarua,CK,-21.2078,-159.775,73.45,88,75,4.61,broken clouds
9,Nawalapitiya,LK,7.0559,80.5348,68.92,90,98,1.74,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,67.21,43,2,13.96,clear sky
11,Chokurdakh,RU,70.6333,147.9167,21.36,92,100,23.22,light snow
12,Atuona,PF,-9.8,-139.0333,76.37,80,26,20.49,light rain
13,Bud,US,39.447,-86.1758,59.49,51,62,14.2,broken clouds
14,Necochea,AR,-38.5473,-58.7368,66.78,47,8,14.92,clear sky
15,Kapaa,US,22.0752,-159.319,72.1,83,0,6.91,clear sky
16,Bluff,NZ,-46.6,168.3333,41.34,86,17,5.84,few clouds
17,Poli,TZ,-3.3333,36.8,70.07,64,76,10.33,broken clouds
18,Thompson,CA,55.7435,-97.8558,48.36,57,100,11.5,overcast clouds
19,Brae,GB,60.3964,-1.353,49.42,74,60,18.7,light rain
20,Yar-Sale,RU,66.8333,70.8333,37.67,98,100,3.67,overcast clouds
21,Mae Sai,TH,20.4335,99.8762,70.5,96,13,1.77,few clouds
22,Villa Constitucion,AR,-33.2278,-60.3297,89.98,16,0,7.87,clear sky
23,Kodiak,US,57.79,-152.4072,49.51,87,100,0.0,overcast clouds
24,Tupik,RU,54.4253,119.9327,25.92,95,91,3.09,overcast clouds
25,Itoman,JP,26.1247,127.6694,77.4,83,85,12.66,overcast clouds
26,Mana,GF,5.6592,-53.7767,85.82,64,24,13.98,few clouds
27,Terme,TR,41.2092,36.9739,62.53,77,95,3.62,overcast clouds
28,East London,ZA,-33.0153,27.9116,65.34,77,20,5.75,few clouds
29,Tiarei,PF,-17.5333,-149.3333,78.82,79,11,21.3,light rain
30,Hermanus,ZA,-34.4187,19.2345,59.81,70,39,11.99,scattered clouds
31,Ushuaia,AR,-54.8,-68.3,44.22,75,40,20.71,scattered clouds
32,Lebu,CL,-37.6167,-73.65,51.91,96,100,13.02,overcast clouds
33,Vaini,TO,-21.2,-175.2,73.56,94,75,9.22,broken clouds
34,Komsomolskiy,UZ,40.4272,71.7189,57.92,51,62,6.91,broken clouds
35,Vao,NC,-22.6667,167.4833,72.01,80,62,22.21,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,70.56,71,21,23.26,few clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,79,93,3.18,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,48.72,87,75,8.05,broken clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,71.62,35,0,16.11,clear sky
40,Yichun,CN,47.7,128.9,27.54,70,59,1.79,broken clouds
41,Georgetown,MY,5.4112,100.3354,78.24,88,40,5.75,scattered clouds
42,Atambua,ID,-9.1061,124.8925,75.06,85,10,3.98,clear sky
43,Katobu,ID,-4.9408,122.5276,75.02,93,74,3.29,heavy intensity rain
44,Werkendam,NL,51.8,4.8833,61.09,72,98,3.0,overcast clouds
45,Rawson,AR,-43.3002,-65.1023,51.78,73,99,22.15,overcast clouds
46,Deputatskiy,RU,69.3,139.9,15.28,86,100,31.18,overcast clouds
47,Svetlaya,RU,46.5389,138.3297,38.46,56,0,6.55,clear sky
48,Vostok,RU,46.4856,135.8833,27.63,76,13,4.05,few clouds
49,Khandyga,RU,62.6667,135.6,14.9,90,55,3.27,broken clouds
50,Hofn,IS,64.2539,-15.2082,46.42,53,0,18.41,clear sky
51,Cozumel,MX,20.5083,-86.9458,91.47,67,40,12.66,scattered clouds
52,Nacala,MZ,-14.5428,40.6728,73.45,83,4,5.37,clear sky
53,Hobart,AU,-42.8794,147.3294,49.86,70,49,17.27,scattered clouds
54,Ahipara,NZ,-35.1667,173.1667,49.1,76,86,6.35,overcast clouds
55,Batangafo,CF,7.3008,18.2833,69.06,97,96,1.95,overcast clouds
56,Castro,BR,-24.7911,-50.0119,65.1,58,72,11.45,broken clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,75.16,88,78,8.01,broken clouds
58,Barsovo,RU,61.1667,73.1667,46.53,90,100,8.41,overcast clouds
59,Springbok,ZA,-29.6643,17.8865,67.84,19,0,5.26,clear sky
60,Meadow Lake,US,34.8014,-106.5436,61.7,88,91,3.58,overcast clouds
61,San Policarpo,PH,12.1791,125.5072,81.0,82,100,6.76,moderate rain
62,Lashio,MM,22.9333,97.75,65.64,99,7,0.16,clear sky
63,The Valley,AI,18.217,-63.0578,87.66,84,40,11.5,scattered clouds
64,Merauke,ID,-8.4667,140.3333,77.25,92,92,6.24,overcast clouds
65,Khatanga,RU,71.9667,102.5,26.65,95,100,16.42,light snow
66,Qaanaaq,GL,77.484,-69.3632,10.99,69,19,8.16,few clouds
67,Whitewater,US,42.8336,-88.7323,52.14,63,22,11.88,few clouds
68,Cangzhou,CN,38.3167,116.8667,53.47,78,0,11.52,clear sky
69,Gao,ML,16.6362,1.637,97.7,17,11,7.16,few clouds
70,Kuytun,RU,54.3419,101.5036,25.45,90,21,2.93,few clouds
71,Fortuna,US,40.5982,-124.1573,52.14,55,39,5.55,scattered clouds
72,Saskylakh,RU,71.9167,114.0833,24.75,93,100,15.77,light snow
73,Butaritari,KI,3.0707,172.7902,80.42,80,48,11.68,light rain
74,Punta Arenas,CL,-53.15,-70.9167,48.31,53,40,28.77,scattered clouds
75,Kikwit,CD,-5.041,18.8162,77.32,70,96,2.53,overcast clouds
76,Norman Wells,CA,65.282,-126.8329,37.44,100,40,3.44,scattered clouds
77,Butterworth,MY,5.3991,100.3638,78.35,89,40,5.75,scattered clouds
78,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,71,40,12.66,scattered clouds
79,Upernavik,GL,72.7868,-56.1549,17.82,81,60,4.56,broken clouds
80,Yulara,AU,-25.2406,130.9889,61.38,36,97,21.79,overcast clouds
81,Tsiroanomandidy,MG,-18.7667,46.0333,74.34,35,0,2.57,clear sky
82,Ponta Do Sol,PT,32.6667,-17.1,74.03,77,26,4.68,scattered clouds
83,Beringovskiy,RU,63.05,179.3167,34.43,43,30,7.49,scattered clouds
84,Tura,IN,25.5198,90.2201,72.68,94,21,1.63,few clouds
85,Banjar,ID,-8.19,114.9675,76.75,91,98,5.7,heavy intensity rain
86,Husavik,IS,66.0449,-17.3389,36.27,84,97,8.68,overcast clouds
87,Port Hedland,AU,-20.3167,118.5667,69.85,94,7,8.05,clear sky
88,Tautira,PF,-17.7333,-149.15,76.59,79,21,19.24,light rain
89,Christchurch,NZ,-43.5333,172.6333,45.91,85,4,8.05,clear sky
90,Bar Harbor,US,44.3876,-68.2039,71.53,80,0,12.66,clear sky
91,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,76,75,12.66,broken clouds
92,Agirish,RU,61.9247,63.0231,40.51,96,89,6.91,overcast clouds
93,Denpasar,ID,-8.65,115.2167,80.26,94,75,11.5,light rain
94,Varna,BG,43.2167,27.9167,60.87,77,0,2.3,light rain
95,Souillac,MU,-20.5167,57.5167,71.98,78,40,9.22,light rain
96,Torbay,CA,47.6666,-52.7314,58.87,96,100,12.66,mist
97,Verkh-Chebula,RU,56.0308,87.6218,36.23,80,98,5.75,overcast clouds
98,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,29,12.82,scattered clouds
99,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,5.75,few clouds
100,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,61,75,13.8,broken clouds
101,Cape Town,ZA,-33.9258,18.4232,61.27,67,0,15.01,clear sky
102,Klaksvik,FO,62.2266,-6.589,45.52,78,96,29.39,light rain
103,Busselton,AU,-33.65,115.3333,47.39,79,94,3.24,overcast clouds
104,Salalah,OM,17.0151,54.0924,78.89,89,0,2.3,clear sky
105,Solnechnyy,RU,50.7214,136.6319,31.19,68,9,2.33,clear sky
106,Kandrian,PG,-6.2167,149.55,75.16,88,78,4.74,broken clouds
107,Bredasdorp,ZA,-34.5322,20.0403,56.1,75,28,10.33,scattered clouds
108,Creel,MX,27.75,-107.6333,61.36,50,4,8.32,clear sky
109,Makakilo City,US,21.3469,-158.0858,77.61,77,0,5.75,clear sky
110,Acolla,PE,-11.7319,-75.5463,62.06,40,53,10.67,broken clouds
111,Wanning,CN,18.8003,110.3967,78.13,90,95,5.66,overcast clouds
112,Manjacaze,MZ,-24.7117,33.8828,71.91,86,33,13.73,scattered clouds
113,Kavaratti,IN,10.5669,72.642,81.64,75,11,17.27,few clouds
114,Cabo San Lucas,MX,22.8909,-109.9124,91.62,54,13,1.97,few clouds
115,Diego De Almagro,CL,-26.3667,-70.05,85.21,6,2,14.52,clear sky
116,Bushehr,IR,28.9684,50.8385,84.29,61,0,4.61,clear sky
117,Zhangjiakou,CN,40.81,114.8794,47.77,49,51,5.55,broken clouds
118,Yeniseysk,RU,58.4497,92.1703,33.15,91,100,5.03,overcast clouds
119,Port-Gentil,GA,-0.7193,8.7815,76.96,88,75,4.61,broken clouds
120,Hithadhoo,MV,-0.6,73.0833,81.12,77,97,15.61,overcast clouds
121,Perbaungan,ID,3.5679,98.956,77.11,94,99,4.5,moderate rain
122,Chiang Khong,TH,20.2613,100.4046,70.75,99,24,1.07,few clouds
123,Korla,CN,41.7597,86.1469,57.99,34,28,3.51,scattered clouds
124,Constitucion,CL,-35.3333,-72.4167,56.98,89,81,10.4,broken clouds
125,Esil,KZ,51.9556,66.4042,56.03,17,100,8.41,overcast clouds
126,Ilulissat,GL,69.2167,-51.1,28.42,93,75,0.0,broken clouds
127,Inhambane,MZ,-23.865,35.3833,74.75,88,1,12.37,clear sky
128,Bethel,US,41.3712,-73.414,77.18,54,0,8.05,clear sky
129,Namibe,AO,-15.1961,12.1522,66.31,82,41,5.59,scattered clouds
130,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.36,70,12,10.47,few clouds
131,Korem,ET,12.5058,39.5228,55.22,82,24,3.87,light rain
132,Isangel,VU,-19.55,169.2667,74.97,86,15,10.87,few clouds
133,Marawi,PH,7.9986,124.2928,69.69,93,100,2.84,overcast clouds
134,Senanga,ZM,-16.1167,23.2667,82.26,11,5,9.98,clear sky
135,Campbell River,CA,50.0163,-125.2446,64.78,68,40,3.44,scattered clouds
136,Pevek,RU,69.7008,170.3133,26.29,75,100,22.64,overcast clouds
137,Tabanan,ID,-8.5413,115.1252,79.2,94,99,3.04,light rain
138,Pishin,PK,30.5803,66.9961,63.64,10,0,1.52,clear sky
139,Hilo,US,19.7297,-155.09,83.28,80,0,5.75,clear sky
140,Diamantino,BR,-14.4086,-56.4461,70.3,90,100,4.47,overcast clouds
141,Galeana,MX,24.8333,-100.0667,57.34,73,100,2.13,overcast clouds
142,Kysyl-Syr,RU,63.8986,122.7617,18.64,92,62,5.08,broken clouds
143,Banda Aceh,ID,5.5577,95.3222,77.97,78,100,5.37,moderate rain
144,Esik,KZ,43.3552,77.4525,47.62,48,62,6.04,broken clouds
145,Faanui,PF,-16.4833,-151.75,78.46,75,1,21.27,clear sky
146,Cimislia,MD,46.52,28.7842,60.94,65,88,5.86,overcast clouds
147,Sciacca,IT,37.5082,13.0881,70.0,76,57,4.27,broken clouds
148,Fort Nelson,CA,58.8053,-122.7002,44.19,76,75,6.91,broken clouds
149,Puerto Madryn,AR,-42.7692,-65.0385,66.11,37,89,14.52,overcast clouds
150,Kalmunai,LK,7.4167,81.8167,79.81,77,100,6.31,overcast clouds
151,Longyearbyen,SJ,78.2186,15.6401,39.04,75,100,16.11,light intensity drizzle
152,Maumere,ID,-8.6199,122.2111,80.56,82,39,5.19,light rain
153,Caravelas,BR,-17.7125,-39.2481,81.81,67,42,14.38,scattered clouds
154,Abu Samrah,SY,35.3029,37.1841,72.66,63,8,10.04,clear sky
155,Sungairaya,ID,0.7,108.9,76.96,88,100,1.77,moderate rain
156,Muros,ES,42.7762,-9.0603,67.08,84,73,15.3,broken clouds
157,Amahai,ID,-3.3333,128.9167,77.88,84,100,1.86,overcast clouds
158,Gat,IL,31.61,34.7642,75.88,100,43,5.06,scattered clouds
159,Jaguey Grande,CU,22.5269,-81.1286,86.02,64,27,12.5,light rain
160,Tasiilaq,GL,65.6145,-37.6368,35.76,95,100,11.3,light rain
161,Abaete,BR,-19.16,-45.4458,70.88,78,100,3.74,overcast clouds
162,Orange Cove,US,36.6244,-119.3137,91.6,30,0,6.91,clear sky
163,New Norfolk,AU,-42.7826,147.0587,49.5,68,53,3.0,broken clouds
164,San Patricio,US,28.017,-97.5169,82.27,54,100,6.96,overcast clouds
165,Lagoa,PT,39.05,-27.9833,71.19,84,63,5.19,broken clouds
166,Mombaca,BR,-5.7431,-39.6275,97.83,22,31,7.52,scattered clouds
167,Yenagoa,NG,4.9247,6.2642,72.61,96,100,4.27,light rain
168,Beira,MZ,-19.8436,34.8389,77.09,88,40,11.99,scattered clouds
169,Corner Brook,CA,48.9667,-57.9484,53.76,93,100,4.68,overcast clouds
170,Chacabuco,AR,-34.6417,-60.4739,85.82,15,1,10.92,clear sky
171,Coihaique,CL,-45.5752,-72.0662,52.41,40,40,13.8,scattered clouds
172,Provideniya,RU,64.3833,-173.3,36.59,64,27,7.94,scattered clouds
173,Tuatapere,NZ,-46.1333,167.6833,36.43,91,18,5.77,few clouds
174,Orikhove,UA,45.1294,33.6318,59.58,59,6,10.98,clear sky
175,Hirara,JP,24.8,125.2833,79.66,79,92,22.73,overcast clouds
176,Lufilufi,WS,-13.8745,-171.5986,69.58,76,98,21.63,overcast clouds
177,Yinchuan,CN,38.4681,106.2731,57.74,19,64,7.72,broken clouds
178,Codrington,AU,-38.2667,141.9667,43.72,78,73,7.99,broken clouds
179,Pundaguitan,PH,6.3711,126.1689,83.08,74,79,3.96,broken clouds
180,Maua,BR,-23.6678,-46.4614,77.36,51,85,17.65,overcast clouds
181,Tecoanapa,MX,16.5167,-98.75,84.87,68,4,7.49,clear sky
182,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,16.11,clear sky
183,Iqaluit,CA,63.7506,-68.5145,28.13,63,75,2.3,broken clouds
184,Ust-Kuyga,RU,70.0167,135.6,21.74,89,100,15.88,overcast clouds
185,Port Alfred,ZA,-33.5906,26.891,63.18,83,9,13.51,clear sky
186,Maniitsoq,GL,65.4167,-52.9,30.79,84,100,3.44,overcast clouds
187,Dikson,RU,73.5069,80.5464,33.4,99,100,15.66,light snow
188,Goderich,CA,43.7501,-81.7165,46.9,81,100,12.66,light rain
189,Riyadh,SA,24.6877,46.7219,86.14,11,0,8.63,clear sky
190,Placido De Castro,BR,-10.3353,-67.1856,95.43,34,91,3.24,overcast clouds
191,Hovd,MN,48.0056,91.6419,30.6,56,47,0.92,scattered clouds
192,Kaitangata,NZ,-46.2817,169.8464,35.51,92,18,4.16,few clouds
193,Cockburn Town,TC,21.4612,-71.1419,83.21,73,16,17.29,few clouds
194,Vysokogornyy,RU,50.1167,139.15,23.29,92,60,1.72,broken clouds
195,Flin Flon,CA,54.7682,-101.865,48.04,53,75,11.5,broken clouds
196,Quesnel,CA,52.9999,-122.5029,43.3,100,100,0.0,fog
197,Sakaiminato,JP,35.55,133.2333,64.38,68,75,5.75,broken clouds
198,Omsukchan,RU,62.5333,155.8,2.34,98,98,4.23,overcast clouds
199,Killybegs,IE,54.6333,-8.45,53.31,74,49,21.68,scattered clouds
200,Mamou,GN,10.5,-12.0,73.0,88,27,4.21,light rain
201,Lavrentiya,RU,65.5833,-171.0,34.07,64,36,16.02,scattered clouds
202,Labuhan,ID,-6.8844,112.2051,79.0,84,99,9.13,overcast clouds
203,Blama,SL,7.8736,-11.3433,76.08,95,95,4.03,moderate rain
204,Sinnamary,GF,5.3833,-52.95,85.66,64,31,14.67,scattered clouds
205,Hami,CN,42.8,93.45,54.95,25,1,11.92,clear sky
206,Margate,GB,51.3813,1.3862,60.91,74,37,5.99,scattered clouds
207,Shimoda,JP,34.6667,138.95,65.03,84,100,8.7,overcast clouds
208,Mahanoro,MG,-19.9,48.8,67.24,82,1,2.21,clear sky
209,Jian,CN,27.1172,114.9793,58.95,76,100,7.29,overcast clouds
210,Okmulgee,US,35.6234,-95.9605,73.51,46,0,13.8,clear sky
211,Trairi,BR,-3.2778,-39.2689,86.95,53,42,14.61,scattered clouds
212,Kuminskiy,RU,58.6667,66.5667,41.94,86,78,5.5,broken clouds
213,Porto De Moz,BR,-1.7483,-52.2383,96.78,31,90,5.59,overcast clouds
214,Sarkand,KZ,45.41,79.9186,54.32,32,2,5.03,clear sky
215,Mitsamiouli,KM,-11.3847,43.2844,76.46,77,27,5.79,scattered clouds
216,Port Elizabeth,ZA,-33.918,25.5701,61.11,82,0,3.44,clear sky
217,Goure,NE,13.9835,10.2704,93.69,17,81,9.44,broken clouds
218,Morondava,MG,-20.2833,44.2833,76.48,86,2,11.01,clear sky
219,Severo-Kurilsk,RU,50.6789,156.125,42.35,67,29,7.2,scattered clouds
220,Kudahuvadhoo,MV,2.6708,72.8944,82.13,71,57,17.05,broken clouds
221,Cidreira,BR,-30.1811,-50.2056,69.48,54,49,17.69,scattered clouds
222,Victoria,HK,22.2855,114.1577,79.25,84,27,8.99,scattered clouds
223,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,79,20,19.57,few clouds
224,Leningradskiy,RU,69.3833,178.4167,25.3,72,65,24.09,broken clouds
225,Shelburne,CA,44.0787,-80.2041,43.25,85,100,14.47,overcast clouds
226,Buala,SB,-8.145,159.5921,79.95,77,64,8.7,light rain
227,College,US,64.8569,-147.8028,47.28,77,100,3.44,overcast clouds
