City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-10-03 19:58:18,72.7868,-56.1549,23.45,76,100,8.52
1,Rikitea,PF,2022-10-03 19:58:18,-23.1203,-134.9692,70.74,76,90,18.68
2,Bratsk,RU,2022-10-03 19:58:19,56.1325,101.6142,25.29,94,81,4.41
3,Albany,US,2022-10-03 19:53:42,42.6001,-73.9662,56.34,54,100,5.95
4,Mataura,NZ,2022-10-03 19:58:19,-46.1927,168.8643,42.48,67,100,3.53
5,Punta Arenas,CL,2022-10-03 19:54:36,-53.15,-70.9167,51.82,76,75,8.05
6,Port Elizabeth,ZA,2022-10-03 19:58:20,-33.918,25.5701,63.1,81,0,14.97
7,Hambantota,LK,2022-10-03 19:58:20,6.1241,81.1185,79.07,79,97,17.98
8,Jacareacanga,BR,2022-10-03 19:58:21,-6.2222,-57.7528,76.55,87,95,3.98
9,Ixtapa,MX,2022-10-03 19:58:21,20.7,-105.2,77.14,94,100,3.02
10,Tasiilaq,GL,2022-10-03 19:56:27,65.6145,-37.6368,34.03,98,100,4.88
11,Grindavik,IS,2022-10-03 19:58:21,63.8424,-22.4338,46.35,93,100,13.8
12,Mount Isa,AU,2022-10-03 19:58:22,-20.7333,139.5,62.37,67,36,0.0
13,Busselton,AU,2022-10-03 19:58:22,-33.65,115.3333,47.43,80,0,10.98
14,Mishan,CN,2022-10-03 19:58:23,45.55,131.8833,34.18,79,44,7.07
15,Santa Marta,CO,2022-10-03 19:56:40,11.2408,-74.199,93.25,59,20,5.75
16,Muisne,EC,2022-10-03 19:58:24,0.6,-80.0333,77.2,82,97,10.87
17,Carmen,MX,2022-10-03 19:58:24,18.6333,-91.8333,82.63,63,10,11.3
18,Isangel,VU,2022-10-03 19:58:25,-19.55,169.2667,73.6,82,100,16.02
19,Tessalit,ML,2022-10-03 19:58:25,20.1986,1.0114,92.55,10,0,11.39
20,Qaanaaq,GL,2022-10-03 19:58:26,77.484,-69.3632,16.21,73,100,6.2
21,Port Shepstone,ZA,2022-10-03 19:58:26,-30.7414,30.455,68.32,78,77,19.51
22,Faanui,PF,2022-10-03 19:58:27,-16.4833,-151.75,78.66,74,5,16.4
23,Singaraja,ID,2022-10-03 19:58:27,-8.112,115.0882,79.11,85,93,4.65
24,De-Kastri,RU,2022-10-03 19:58:28,51.4667,140.7833,36.91,99,100,6.13
25,Troitsko-Pechorsk,RU,2022-10-03 19:58:28,62.7084,56.1964,43.25,93,100,3.31
26,Vaini,TO,2022-10-03 19:58:29,-21.2,-175.2,77.16,83,20,5.75
27,East London,ZA,2022-10-03 19:58:29,-33.0153,27.9116,64.36,73,100,12.35
28,La Ronge,CA,2022-10-03 19:58:29,55.1001,-105.2842,55.65,41,40,3.44
29,Hobart,AU,2022-10-03 19:58:30,-42.8794,147.3294,47.26,77,75,12.66
30,Nemuro,JP,2022-10-03 19:58:30,43.3236,145.575,64.89,91,61,23.62
31,Ponta Do Sol,PT,2022-10-03 19:58:31,32.6667,-17.1,72.72,85,41,3.4
32,Bluff,NZ,2022-10-03 19:56:29,-46.6,168.3333,42.8,72,99,24.49
33,Basoko,CD,2022-10-03 19:58:31,1.2391,23.616,74.71,77,100,1.12
34,Arraial Do Cabo,BR,2022-10-03 19:58:32,-22.9661,-42.0278,71.46,68,75,9.22
35,Deputatskiy,RU,2022-10-03 19:58:33,69.3,139.9,9.64,94,100,5.12
36,La Cruz,MX,2022-10-03 19:58:34,23.9167,-106.9,86.23,45,59,6.44
37,Poum,NC,2022-10-03 19:58:34,-20.2333,164.0167,73.06,69,1,17.36
38,Constitucion,CL,2022-10-03 19:58:35,-35.3333,-72.4167,55.49,69,15,7.52
39,Zhireken,RU,2022-10-03 19:58:36,52.8249,117.3076,20.68,52,3,3.2
40,Lakatoro,VU,2022-10-03 19:58:37,-16.0999,167.4164,78.53,81,12,6.38
41,Kahului,US,2022-10-03 19:54:51,20.8947,-156.47,78.82,88,100,13.8
42,Roma,US,2022-10-03 19:54:46,43.2128,-75.4557,59.38,53,100,1.01
43,Saint-Michel-Des-Saints,CA,2022-10-03 19:58:38,46.6834,-73.9159,53.94,30,42,3.33
44,Saint-Philippe,RE,2022-10-03 19:56:16,-21.3585,55.7679,71.19,80,42,11.56
45,Mount Gambier,AU,2022-10-03 19:57:57,-37.8333,140.7667,51.26,94,100,10.02
46,Kruisfontein,ZA,2022-10-03 19:58:39,-34.0033,24.7314,60.89,73,100,15.46
47,Hermanus,ZA,2022-10-03 19:58:39,-34.4187,19.2345,52.81,75,1,9.95
48,Changji,CN,2022-10-03 19:58:04,44.0167,87.3167,41.79,52,0,4.47
49,Sao Filipe,CV,2022-10-03 19:59:40,14.8961,-24.4956,79.09,82,100,14.58
50,Assiniboia,CA,2022-10-03 19:59:40,49.6334,-105.9845,62.42,55,88,5.75
51,Mabaruma,GY,2022-10-03 19:59:41,8.2,-59.7833,80.67,89,95,3.49
52,Ilulissat,GL,2022-10-03 19:59:42,69.2167,-51.1,21.38,84,20,1.01
53,Nikolskoye,RU,2022-10-03 19:59:42,59.7035,30.7861,44.49,97,100,10.27
54,Ribeira Grande,PT,2022-10-03 19:59:43,38.5167,-28.7,72.0,83,20,9.22
55,Iqaluit,CA,2022-10-03 19:59:43,63.7506,-68.5145,35.33,93,100,19.57
56,Camana,PE,2022-10-03 19:59:44,-16.6228,-72.7111,64.22,72,19,7.11
57,Marsala,IT,2022-10-03 19:59:44,37.7966,12.4352,69.93,68,6,13.13
58,Esperance,AU,2022-10-03 19:59:45,-33.8667,121.9,55.24,92,100,13.51
59,Cape Town,ZA,2022-10-03 19:56:18,-33.9258,18.4232,59.41,68,20,5.75
60,Havre-Saint-Pierre,CA,2022-10-03 19:56:38,50.2334,-63.5986,48.56,61,0,18.41
61,Te Anau,NZ,2022-10-03 19:59:46,-45.4167,167.7167,41.77,77,100,5.37
62,Cherskiy,RU,2022-10-03 19:59:46,68.75,161.3,24.48,81,100,6.58
63,Jamestown,US,2022-10-03 19:55:46,42.097,-79.2353,57.06,42,0,9.22
64,Ushuaia,AR,2022-10-03 19:56:19,-54.8,-68.3,51.42,61,75,3.44
65,Chuy,UY,2022-10-03 19:59:47,-33.6971,-53.4616,58.35,64,30,13.53
66,Norman Wells,CA,2022-10-03 19:59:47,65.282,-126.8329,35.64,93,100,0.0
67,Sonoita,MX,2022-10-03 19:59:48,31.85,-112.8333,90.63,31,0,3.62
68,Santa Maria,BR,2022-10-03 19:59:48,-29.6842,-53.8069,70.9,46,40,4.61
69,Suluq,LY,2022-10-03 19:59:48,31.6682,20.2521,73.94,67,0,9.28
70,Kapaa,US,2022-10-03 19:59:49,22.0752,-159.319,82.47,67,30,3.0
71,Butaritari,KI,2022-10-03 19:59:49,3.0707,172.7902,81.37,73,19,11.59
72,Tommot,RU,2022-10-03 19:59:49,58.9564,126.2925,24.84,97,98,2.62
73,Laguna,US,2022-10-03 19:59:50,38.421,-121.4238,84.34,46,0,3.0
74,Boyolangu,ID,2022-10-03 19:59:50,-8.1181,111.8935,75.6,89,99,5.3
75,Mount Vernon,US,2022-10-03 19:59:51,40.9126,-73.8371,54.16,67,100,13.6
76,Mountain Home,US,2022-10-03 19:59:51,43.133,-115.6912,73.11,26,17,3.78
77,Georgetown,MY,2022-10-03 19:55:45,5.4112,100.3354,78.89,91,20,2.3
78,Scottsbluff,US,2022-10-03 19:57:18,41.8666,-103.6672,73.56,43,18,1.01
79,Kirakira,SB,2022-10-03 19:59:52,-10.4544,161.9205,79.38,84,56,7.18
80,Atuona,PF,2022-10-03 19:59:52,-9.8,-139.0333,76.59,72,17,18.88
81,Itarema,BR,2022-10-03 19:59:53,-2.9248,-39.9167,80.35,69,13,16.02
82,Khatanga,RU,2022-10-03 19:59:53,71.9667,102.5,13.73,92,99,7.31
83,Port Alfred,ZA,2022-10-03 19:59:54,-33.5906,26.891,59.18,89,87,3.0
84,Buala,SB,2022-10-03 19:59:54,-8.145,159.5921,80.62,81,93,6.91
85,Port Hedland,AU,2022-10-03 19:59:55,-20.3167,118.5667,68.05,88,0,6.91
86,Lasa,IT,2022-10-03 19:59:55,46.6166,10.7002,52.36,76,58,5.64
87,North Bend,US,2022-10-03 19:59:56,43.4065,-124.2243,58.91,91,100,0.0
88,Leningradskiy,RU,2022-10-03 19:59:56,69.3833,178.4167,30.45,93,100,7.31
89,Tuktoyaktuk,CA,2022-10-03 19:59:57,69.4541,-133.0374,24.8,86,100,13.8
90,Provideniya,RU,2022-10-03 19:59:57,64.3833,-173.3,37.2,73,27,7.92
91,Pisco,PE,2022-10-03 20:00:58,-13.7,-76.2167,64.02,78,13,9.53
92,Storsteinnes,NO,2022-10-03 20:00:58,69.2408,19.2344,43.38,91,99,2.42
93,Mahajanga,MG,2022-10-03 20:01:00,-15.7167,46.3167,69.82,83,0,2.3
94,Nabire,ID,2022-10-03 20:01:00,-3.3667,135.4833,74.61,94,100,2.06
95,San Quintin,MX,2022-10-03 20:01:00,30.4833,-115.95,71.94,74,74,16.08
96,Puerto Ayora,EC,2022-10-03 19:56:23,-0.7393,-90.3518,73.36,92,94,5.01
97,Aswan,EG,2022-10-03 20:01:01,24.0934,32.907,89.08,21,0,12.46
98,Bethel,US,2022-10-03 19:59:54,41.3712,-73.414,53.02,72,100,4.0
99,Buraydah,SA,2022-10-03 20:01:02,26.326,43.975,81.9,12,5,11.72
100,Kirensk,RU,2022-10-03 20:01:03,57.7853,108.1119,24.98,99,85,1.79
101,Okhotsk,RU,2022-10-03 20:01:03,59.3833,143.3,34.68,61,100,3.8
102,Okahandja,NA,2022-10-03 20:01:04,-21.9833,16.9167,77.65,12,0,8.32
103,Tazovskiy,RU,2022-10-03 20:01:05,67.4667,78.7,36.09,97,100,19.73
104,Ucluelet,CA,2022-10-03 20:01:07,48.9329,-125.5528,63.48,76,37,5.57
105,Pundaguitan,PH,2022-10-03 20:01:07,6.3711,126.1689,81.73,74,100,7.18
106,Brae,GB,2022-10-03 20:01:07,60.3964,-1.353,53.65,91,100,23.31
107,Sitka,US,2022-10-03 20:01:09,57.0531,-135.33,54.37,69,99,1.54
108,Amalapuram,IN,2022-10-03 20:01:10,16.5833,82.0167,76.62,94,100,2.53
109,Gweta,BW,2022-10-03 20:01:10,-20.1833,25.2333,79.0,16,0,7.38
110,Bundaberg,AU,2022-10-03 20:01:10,-24.85,152.35,60.94,69,0,6.62
111,Barra Do Garcas,BR,2022-10-03 20:00:34,-15.89,-52.2567,95.77,28,63,2.98
112,Amahai,ID,2022-10-03 20:01:11,-3.3333,128.9167,77.41,87,80,3.51
113,Hay River,CA,2022-10-03 20:01:12,60.8156,-115.7999,55.96,39,98,4.0
114,Cap Malheureux,MU,2022-10-03 20:01:13,-19.9842,57.6142,71.47,69,86,4.0
115,Montecristo,CO,2022-10-03 20:01:13,8.2971,-74.4733,90.52,62,67,1.21
116,Barrow,US,2022-10-03 20:01:14,71.2906,-156.7887,26.62,86,100,20.71
117,Hofn,IS,2022-10-03 20:01:15,64.2539,-15.2082,48.69,91,100,10.74
118,Omboue,GA,2022-10-03 20:01:15,-1.5746,9.2618,76.17,86,100,5.39
119,Dikson,RU,2022-10-03 19:59:36,73.5069,80.5464,32.23,99,100,9.15
120,Coahuayana,MX,2022-10-03 20:01:16,18.7333,-103.6833,81.97,81,99,4.23
121,Comodoro Rivadavia,AR,2022-10-03 20:01:16,-45.8667,-67.5,63.45,45,100,13.4
122,Portage,US,2022-10-03 20:01:17,41.1667,-81.1998,66.61,36,0,8.05
123,Aberdeen,GB,2022-10-03 20:01:18,57.1437,-2.0981,55.49,90,40,16.11
124,Meulaboh,ID,2022-10-03 20:01:18,4.1363,96.1285,74.39,93,100,3.06
125,Tiksi,RU,2022-10-03 20:01:19,71.6872,128.8694,21.45,90,99,10.33
126,Mackenzie,CA,2022-10-03 20:01:19,55.2999,-123.1698,65.86,42,84,4.18
127,Lazaro Cardenas,MX,2022-10-03 20:01:23,17.9583,-102.2,83.26,72,58,6.31
128,Yellowknife,CA,2022-10-03 20:01:24,62.456,-114.3525,44.6,60,100,8.01
129,Semnan,IR,2022-10-03 20:01:24,35.5729,53.3971,69.78,32,0,0.74
130,Aksay,RU,2022-10-03 20:01:25,47.26,39.87,59.25,73,100,15.99
131,Gohana,IN,2022-10-03 19:57:23,29.1333,76.7,78.04,48,0,3.42
132,Bathsheba,BB,2022-10-03 20:01:26,13.2167,-59.5167,83.57,75,74,12.59
133,Longyearbyen,SJ,2022-10-03 20:01:26,78.2186,15.6401,37.24,87,75,4.61
134,Naples,IT,2022-10-03 20:01:27,40.8333,14.25,72.21,65,0,11.5
135,Labrea,BR,2022-10-03 20:01:27,-7.2586,-64.7981,92.25,44,66,2.73
136,Yorosso,ML,2022-10-03 20:01:28,12.3536,-4.7761,82.22,62,93,1.95
137,Victoria,HK,2022-10-03 19:59:39,22.2855,114.1577,84.18,83,12,5.1
138,Zharkent,KZ,2022-10-03 20:01:29,44.1628,80.0,59.45,27,100,3.22
139,Naze,JP,2022-10-03 20:01:29,28.3667,129.4833,76.14,79,17,8.23
140,Lorengau,PG,2022-10-03 20:02:30,-2.0226,147.2712,81.01,77,99,6.87
141,Misawa,JP,2022-10-03 19:57:58,40.6836,141.3597,70.61,85,96,8.16
142,Milkovo,RU,2022-10-03 20:02:31,54.7167,158.6167,42.31,87,100,1.59
143,Bredasdorp,ZA,2022-10-03 20:02:31,-34.5322,20.0403,53.02,81,0,7.78
144,Mollendo,PE,2022-10-03 20:02:31,-17.0231,-72.0147,63.5,72,36,7.38
145,Paka,MY,2022-10-03 20:02:32,4.6374,103.4368,76.6,89,99,3.53
146,Lavrentiya,RU,2022-10-03 20:02:32,65.5833,-171.0,36.72,72,1,6.46
147,Allanridge,ZA,2022-10-03 20:02:33,-27.7543,26.6438,70.99,21,14,8.05
148,Bandarbeyla,SO,2022-10-03 20:02:33,9.4942,50.8122,77.54,81,89,17.2
149,Manaure,CO,2022-10-03 20:02:34,11.7751,-72.4445,90.75,52,5,15.93
150,Kenai,US,2022-10-03 20:02:34,60.5544,-151.2583,51.15,86,92,3.74
151,Tambacounda,SN,2022-10-03 20:02:35,13.7539,-13.7586,81.25,75,100,5.79
152,Boditi,ET,2022-10-03 20:02:36,6.9667,37.8667,60.31,83,99,2.1
153,Saint-Gaudens,FR,2022-10-03 20:02:37,43.0833,0.6667,56.01,87,67,3.38
154,Huesca,ES,2022-10-03 20:02:38,42.1362,-0.4087,72.1,55,0,0.0
155,Penzance,GB,2022-10-03 20:02:38,50.1186,-5.5371,57.88,92,33,10.25
156,Muros,ES,2022-10-03 20:02:39,42.7762,-9.0603,63.09,89,0,0.92
157,Mangrol,IN,2022-10-03 20:02:39,21.1167,70.1167,79.97,77,3,7.29
158,Kodiak,US,2022-10-03 20:00:51,57.79,-152.4072,49.51,76,100,8.05
159,Bhimunipatnam,IN,2022-10-03 20:02:39,17.8833,83.4333,80.11,83,100,4.29
160,Iglesias,IT,2022-10-03 20:02:40,39.3114,8.535,67.42,80,15,4.61
161,Goure,NE,2022-10-03 20:02:40,13.9835,10.2704,93.07,17,19,8.39
162,Abu Samrah,SY,2022-10-03 20:02:41,35.3029,37.1841,75.74,65,0,7.18
163,Aromashevo,RU,2022-10-03 20:02:41,56.8602,68.6375,42.01,53,100,13.6
164,Clyde River,CA,2022-10-03 20:02:38,70.4692,-68.5914,30.43,100,100,9.22
165,Vestmanna,FO,2022-10-03 20:02:41,62.1564,-7.1664,49.12,93,100,33.38
166,Komsomolskiy,UZ,2022-10-03 20:02:42,40.4272,71.7189,61.52,44,6,6.91
167,Isla Mujeres,MX,2022-10-03 20:02:42,21.2311,-86.731,82.51,65,21,10.38
168,Hilo,US,2022-10-03 20:02:43,19.7297,-155.09,88.29,85,93,5.99
169,Loandjili,CG,2022-10-03 20:02:43,-4.7561,11.8578,76.68,85,98,7.96
170,Kasangulu,CD,2022-10-03 20:02:44,-4.5911,15.1708,77.16,72,97,2.51
171,Mason City,US,2022-10-03 20:02:25,43.1536,-93.201,74.32,43,0,12.66
172,Hithadhoo,MV,2022-10-03 20:00:49,-0.6,73.0833,81.95,70,100,13.31
173,Bambous Virieux,MU,2022-10-03 20:02:44,-20.3428,57.7575,71.22,78,20,9.22
174,Tatawin,TN,2022-10-03 20:02:44,32.9297,10.4518,73.42,44,3,2.71
175,Vangaindrano,MG,2022-10-03 20:02:45,-23.35,47.6,68.31,91,9,7.45
176,Kavieng,PG,2022-10-03 20:02:45,-2.5744,150.7967,82.17,74,100,12.48
177,Bubaque,GW,2022-10-03 20:02:46,11.2833,-15.8333,82.78,72,78,4.52
178,Acapulco,MX,2022-10-03 20:00:04,16.8634,-99.8901,84.97,69,9,7.96
179,Orocue,CO,2022-10-03 20:02:46,4.7912,-71.3354,85.24,67,93,4.12
180,Sibiti,CG,2022-10-03 20:02:47,-3.6819,13.3499,70.65,91,99,3.06
181,Malanje,AO,2022-10-03 20:02:48,-9.5402,16.341,69.62,77,24,7.43
182,Lebu,CL,2022-10-03 20:02:48,-37.6167,-73.65,53.87,83,100,12.1
183,Puurmani,EE,2022-10-03 20:02:48,58.5738,26.2878,43.29,85,100,14.16
184,Cabo San Lucas,MX,2022-10-03 20:00:10,22.8909,-109.9124,94.6,54,0,4.56
185,Mar Del Plata,AR,2022-10-03 20:02:11,-38.0023,-57.5575,54.95,74,28,5.01
186,Avarua,CK,2022-10-03 20:02:49,-21.2078,-159.775,77.05,73,20,20.71
187,Saint George,US,2022-10-03 20:00:16,37.1041,-113.5841,84.25,35,0,14.97
188,Zalantun,CN,2022-10-03 20:02:50,48.0,122.7167,28.42,45,0,6.58
189,Airai,TL,2022-10-03 20:03:50,-8.9266,125.4092,61.61,92,99,1.19
190,Batagay,RU,2022-10-03 20:03:51,67.6333,134.6333,20.32,97,100,1.23
191,Chirongui,YT,2022-10-03 20:03:51,-12.9319,45.1483,73.33,69,10,5.41
